medicineName,dosage,uses,details
Lactulose AUG - Pharma,,Pharmacological Agent,Lactulose
Lactulose Hek,,Pharmacological Agent,Lactulose
Lacty 20,,Pharmacological Agent,Probiotic
Ladenes 30 Enteric Coated,,Pharmacological Agent,Enteric coated tablets
Lady Hair 30 Hard Gelatin,,Nutritional supplement,Hair supplement
Ladyhair 30 Cap,,,Oral capsule formulation
Lafer 100 mg 20 Pieces,100 MG,Pharmacological Agent,Interferon
Lafurex 40 mg/4 ml 3,"40 MG, 4 ML",Cephalosporin Antibiotic,Cefuroxime
Lagozenda 30 Chewable,,Pharmacological Agent,Antidiabetic
Laktinovant 30 Gummies,30 G,Pharmacological Agent,Probiotic gummies
Lamazi Collagen Sachets,,"Joint health, Skin health",Collagen supplement
Lamictal 100 mg 30,100 MG,Pharmacological Agent,Lamotrigine
Lamictal 2 mg 30,2 MG,Pharmacological Agent,Lamotrigine
Lamictal 25 mg 30,25 MG,Pharmacological Agent,Lamotrigine
Lamictal 50 mg 30,50 MG,Pharmacological Agent,Lamotrigine
Lamidine 100 mg 30,100 MG,Pharmacological Agent,Linezolid
Lamidine 150 mg 10,150 MG,Pharmacological Agent,Linezolid
Lamifen 1% 15 Gm Cream,"15 G, 15 G, 1%",,Topical cream formulation
Lamifen 125 mg 14,125 MG,Allylamine Antifungal,Terbinafine
Lamifen 250 mg 14,250 MG,Allylamine Antifungal,Terbinafine
Lamisil 1% 15 Gm Cream,"15 G, 15 G, 1%",,Topical cream formulation
Lamisil 250 mg 14,250 MG,Allylamine Antifungal,Terbinafine
Lamotrine 100 mg 30,100 MG,Pharmacological Agent,Lamotrigine
Lamotrine 2 mg 30,2 MG,Pharmacological Agent,Lamotrigine
Lamotrine 25 mg 30,25 MG,Pharmacological Agent,Lamotrigine
Lamotrine 50 Mg 30 Tab,50 MG,,Oral tablet formulation
Lanaclor Oral Powder Suspension 250 mg 60 ml,"250 MG, 60 ML","Bacterial infections, Antibiotic",Amoxicillin
Lando 60 Gummies + Yummi Chocolate 2Pcs عرض المناعة,60 G,,Pharmaceutical preparation
Lando Multi Vitamins & Minerals 60 Gummies,60 G,Vitamin Supplement; Mineral Supplement,Pharmaceutical preparation
Lando Multi Vitamins & Minerals 60 Gummies (1+1) #,60 G,Vitamin Supplement; Mineral Supplement,Pharmaceutical preparation
Lano Co (Collagen) 10 Sachets X 10 Gm,"10 G, 10 G",,Pharmaceutical preparation
Lano Co 10 Sachets,,Pharmacological Agent,Lanolin cream
Lanodo 20 Sachets,,Nutritional supplement,Nutritional supplement
Lanomax 50 Gm Cream,"50 G, 50 G",,Topical cream formulation
Lanopil Rectal Ointment 30 gm,30 G,Pharmacological Agent,Lidocaine
Lanoquill 100 Gm Cream,"100 G, 100 G",,Topical cream formulation
Lanoxin 0.25 mg 100,0.25 MG,Pharmacological Agent,Digoxin
Lansofast 30 mg 30 Orodispersible,30 MG,Proton Pump Inhibitor,Lansoprazole
Lantanon 30 mg 10,30 MG,Proton Pump Inhibitor,Lansoprazole
Lantanon 30 Mg 10 Cap,30 MG,,Oral capsule formulation
Lantopep 30 mg 14,30 MG,Proton Pump Inhibitor,Lansoprazole
Lantopep 60 mg 14,60 MG,Proton Pump Inhibitor,Lansoprazole
Lantopep 60 Mg 14 Cap (361954),60 MG,,Oral capsule formulation
Lantus 100I.u/Ml 5 Cartridges 3 Ml,"3 ML, 3 ML",,Pharmaceutical preparation
Lantus Solostar 100 I.u/Ml 5 Prefilled Pens 3 Ml,"3 ML, 3 ML",,Pharmaceutical preparation
Lanzapine 10 Mg 21 Tab (171908),10 MG,,Oral tablet formulation
Lanzofutal 15 mg 10,15 MG,Proton Pump Inhibitor,Lansoprazole
Lanzofutal 30 mg 14,30 MG,Proton Pump Inhibitor,Lansoprazole
Lanzofutal 30 Mg 14 Cap,30 MG,,Oral capsule formulation
Lanzofutal S.r. 15 Mg 10 Cap,15 MG,,Oral capsule formulation
Lanzyplex 15 mg 10,15 MG,Proton Pump Inhibitor,Lansoprazole
Lanzyplex 30 mg 10,30 MG,Proton Pump Inhibitor,Lansoprazole
Laprin 10 Sachets 120 Gm,"120 G, 120 G",,Pharmaceutical preparation
Laratin 30 Pieces,,Pharmacological Agent,Antidiabetic
Larivex 500 mg 5,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Larocinia 14 Sachets,,Pharmacological Agent,Probiotic
Larogen 25 mg 30,25 MG,Proton Pump Inhibitor,Lansoprazole
Larosuzet 10 / 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Ezetimibe + Atorvastatin
Larosuzet 20 / 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Larosuzet 40 / 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Ezetimibe + Atorvastatin
Larypro 20 Lozenges Tab,,,Oral tablet formulation
Lasilactone 100 / 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Lasilactone 100 mg/20 mg 30,"100 MG, 20 MG, 100 MG + 20 MG",Loop Diuretic,Furosemide + Spironolactone
Lasilactone 50 / 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Lasilactone 50 mg / 20 mg 30,"50 MG, 20 MG, 50 MG + 20 MG",Loop Diuretic,Furosemide + Spironolactone
Lasiphar 40 mg/4 ml 3,"40 MG, 4 ML",Loop Diuretic,Furosemide
Lasix 20 Mg / 2 Ml 3 Amp,"20 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Lasix 20 mg/2 ml 3,"20 MG, 2 ML",Loop Diuretic,Furosemide
Lasix 40 mg 24,40 MG,Loop Diuretic,Furosemide
Lasting Tears,,Pharmacological Agent,Lubricating eye drops
Lasting Tears 0.3% Eye Drops 15 Ml,"15 ML, 15 ML, 0.3%",,Ophthalmic/otic drops
Lastlerge 10 Mg 14 Tab,10 MG,,Oral tablet formulation
Lastlerge MR 10 mg 14 Scored,10 MG,Second-generation Antihistamine,Loratadine
Lavanic 750 mg 5,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Lax Massage Cream 75 gm,75 G,Pharmacological Agent,Massage cream
Laxel 12 Effervescent Sachets 5 gm,5 G,Pharmacological Agent,Laxative
Laxeol - Pi 5 mg 20,5 MG,Pharmacological Agent,Bisacodyl
Laxeol - Pi 5 Mg 250 Tab (46842),5 MG,,Oral tablet formulation
Laxeol PI 5 mg 250 Tablet,5 MG,Pharmacological Agent,Bisacodyl
Laxolac,,Pharmacological Agent,Lactulose
Laxolac 67% Syrup 120 Ml,"120 ML, 120 ML, 67%",,Oral liquid formulation
LB Baby Oral,,Pharmacological Agent,Probiotic drops
Lead Acetate 100 Ml خلات رصاص,"100 ML, 100 ML",,Pharmaceutical preparation
Learofree Scal Gel 30 ml,30 ML,Pharmacological Agent,Scalp treatment gel
Lebactovo 500 Mg 5 Tab,500 MG,,Oral tablet formulation
Lecital 40 mg 30 Caplets,40 MG,SSRI Antidepressant,Escitalopram
Led G 30,,Nutritional supplement,Multivitamin
LeDexaflox 0.3% Eye,0.3%,Pharmacological Agent,Ofloxacin + Dexamethasone
Lee - Flox 250 Mg 5 Tab,250 MG,,Oral tablet formulation
Lee - Flox 500 Mg 5 Tab,500 MG,,Oral tablet formulation
Lee - Flox 750 Mg 7 Tab,750 MG,,Oral tablet formulation
Lee-Flox 250 mg 5,250 MG,Fluoroquinolone Antibiotic,Levofloxacin
Lee-Flox 750 mg 7,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Legalon 140 mg 30,140 MG,Pharmacological Agent,Silymarin
Legalon 140 Mg 30 Cap,140 MG,,Oral capsule formulation
Lekomune 30 Tab,,,Oral tablet formulation
Lelafree 10 mg 30,10 MG,Second-generation Antihistamine,Loratadine
Lelipel 10 Mg 20 Tab,10 MG,,Oral tablet formulation
Lelipel 4 mg 14 Sachets,4 MG,Leukotriene Receptor Antagonist,Montelukast
Lelipel 5 Mg 20 Chew. Tab,5 MG,,Oral tablet formulation
Lelipel 5 mg 20 Chewable,5 MG,Leukotriene Receptor Antagonist,Montelukast
Lemox 30,,"Bacterial infections, Antibiotic",Amoxicillin
Lenato Ox 10 Sachets,,Nutritional supplement,Nutritional supplement
Lenex 50 Gm Foot Cream,"50 G, 50 G",,Topical cream formulation
Lentojeston 250 mg/1 ml 1 Ampoule,"250 MG, 1 ML",Pharmacological Agent,Testosterone
Lentojeston I. M. 250 Mg / 1 Ml 1 Amp,"250 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Lentra 10 Sachet X 2 Gm,"2 G, 2 G",,Pharmaceutical preparation
Lentra 14 Sachet X 2 Gm,"2 G, 2 G",,Pharmaceutical preparation
Lentra 14 Sachets,,Pharmacological Agent,Probiotic
Lentra Plus 10 Cap,,,Oral capsule formulation
Lenvima ( Lenvatinib ) 10 Mg 30 Cap,10 MG,,Oral capsule formulation
Lenvima 10 mg 30,10 MG,Pharmacological Agent,Lenvatinib
Leponex 100 mg 50,100 MG,Pharmacological Agent,Clozapine
Leponex 25 mg 50,25 MG,Pharmacological Agent,Clozapine
Lepsiramp 2 mg 14,2 MG,Atypical Antipsychotic,Risperidone
Lepsiramp 4 Mg 14 Tab,4 MG,,Oral tablet formulation
Lepsiramp 6 Mg 14 Tab,6 MG,,Oral tablet formulation
Lepsylief 600 mg 20,600 MG,Pharmacological Agent,Levetiracetam
Lepsylief 800 mg 20,800 MG,Pharmacological Agent,Levetiracetam
Lepticure 100 mg 20,100 MG,Pharmacological Agent,Levetiracetam
Lepticure 300 mg 30,300 MG,Pharmacological Agent,Levetiracetam
Lepticure 300 Mg 30 Cap (250946),300 MG,,Oral capsule formulation
Lepticure 400 mg 30,400 MG,Pharmacological Agent,Levetiracetam
Lepticure 400 Mg 30 Cap (250947),400 MG,,Oral capsule formulation
Leptoprenol 200 Mg 30 Tab,200 MG,,Oral tablet formulation
Leptoprenol 500 Mg 20 Tab,500 MG,,Oral tablet formulation
Leptrogine 200 mg 30,200 MG,Pharmacological Agent,Levetiracetam
Leptrogine 25 mg 30 Chewable,25 MG,Pharmacological Agent,Levetiracetam
LEQVIO 284 mg / 1.5 ml 1 Prefilled Syringe,"284 MG, 1.5 ML",Pharmacological Agent,Inclisiran
Leqvio 284 Mg / 1.5 Ml S.c 1 Pre-Filled Syring,"284 MG, 1.5 ML, 1.5 ML",,Pharmaceutical preparation
Lergeblock 1.5% Eye,1.5%,Pharmacological Agent,Blocker eye drops
Lergeblock 1.5% Eye Drops 10 Ml,"10 ML, 10 ML, 1.5%",,Ophthalmic/otic drops
Lergemed Nasal Spray 15 ml,15 ML,Pharmacological Agent,Nasal spray
Lergicare 2.5 Mg / 5 Ml Syrup 120 Ml,"2.5 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Lergicare 2.5 mg/5 ml Oral Solution 120 ml,"2.5 MG, 5 ML, 120 ML",Second-generation Antihistamine,Loratadine
Lergicare 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Lero Gummy C + Benebon Multivitamins Gummies (120 + 60) Pcs (1+1) #,,Vitamin Supplement,Pharmaceutical preparation
Lescol XL 80 mg 28,80 MG,Pharmacological Agent,Fluvastatin
Letracitolin 250 Mg,250 MG,Pharmacological Agent,Citricillin
Letrozol Synthon 2.5 Mg 30 Tab,2.5 MG,,Oral tablet formulation
Letrozole 2.5 Mg 10 Tab,2.5 MG,,Oral tablet formulation
Letrozole 2.5 mg 30,2.5 MG,Pharmacological Agent,Letrozole
Leukeran 2 mg 25 Film Coated,2 MG,Pharmacological Agent,Chlorambucil
Leva Joint 30,,Nutritional supplement,Joint supplement
Levanic 500 Mg 5 Tab,500 MG,,Oral tablet formulation
Levanic 500 mg 7,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levanic 750 Mg 5 Tab,750 MG,,Oral tablet formulation
Levanox - N 20 Cap,,,Oral capsule formulation
Levcet 2.5 Mg / 5 Ml Syrup 120 Ml#,"2.5 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Levcet 2.5 mg/5 ml Oral Solution 120 ml,"2.5 MG, 5 ML, 120 ML",Second-generation Antihistamine,Cetirizine
Levcet 5 Mg / Ml Oral Drops 20 Ml,"5 MG, 20 ML, 20 ML",,Ophthalmic/otic drops
Levcet 5 Mg 20 Tab#,5 MG,,Oral tablet formulation
Levcet 5 mg/ml Oral,5 MG,Second-generation Antihistamine,Cetirizine
Levectam 100 Mg / Ml Syrup 120 Ml,"100 MG, 120 ML, 120 ML",,Oral liquid formulation
Levectam 100 mg/ml,100 MG,Pharmacological Agent,Levetiracetam
Levectam 1000 gm 20,1000 G,Pharmacological Agent,Levetiracetam
Levectam 1000 Mg 20 Tab (358217),1000 MG,,Oral tablet formulation
Levemir Flexpen 100 U/ml 5 Pens 3 ml (Fridge),3 ML,Insulin,Insulin detemir
Levepex 100 mg / ml,100 MG,Pharmacological Agent,Levetiracetam
Levepex 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Levepex 500 Mg 30 Tab,500 MG,,Oral tablet formulation
Levepex 750 Mg 30 Tab,750 MG,,Oral tablet formulation
Levitra 20 mg 4,20 MG,PDE5 Inhibitor,Vardenafil
Levocar 250 / 25 Mg 30 Tab (10669),25 MG,,Oral tablet formulation
Levocarnine 500 mg 20,500 MG,Pharmacological Agent,Levocarnitine
Levoctivan 2.5 Mg / 5 Ml Syrup 120 Ml,"2.5 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Levoctivan 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Levodel 500 Mg 5 Tab,500 MG,,Oral tablet formulation
Levodel 750 mg 5,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levoflotanet 750 mg 1 Vial (IV),750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levoflox 500 mg 5 Film Coated,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levofloxacin - Eva Pharma 500 Mg 10 Tab,500 MG,,Oral tablet formulation
Levofloxacin - Marcyrl 500 Mg 10 Tab,500 MG,,Oral tablet formulation
Levofloxacin - Marcyrl 750 Mg 5 Tab,750 MG,,Oral tablet formulation
Levofloxacin 500 mg 10 Film Coated,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levofloxacin 750 mg 5,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levofoxat 500 mg 5 Film Coated,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levohistam 5 Mg / 1 Ml Oral Drops 20 Ml,"5 MG, 1 ML, 20 ML, 1 ML, 20 ML",,Ophthalmic/otic drops
Levohistam 5 Mg / 10 Ml Syrup 120 Ml,"5 MG, 10 ML, 120 ML, 10 ML, 120 ML",,Oral liquid formulation
Levohistam 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Levokenacin 500 mg 5 Scored Film Coated,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levomagictam 500 mg 5,500 MG,Pharmacological Agent,Levetiracetam
Levophrine 8 mg / 8 ml 5,"8 MG, 8 ML",Decongestant,Phenylephrine
Levopride 25 mg 30,25 MG,Pharmacological Agent,Levosulpiride
Levotavin 500 Mg 7 Tab,500 MG,,Oral tablet formulation
Levotavin 750 mg 7,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Levoxin 250 Mg 5 Tab,250 MG,,Oral tablet formulation
Levoxin 500 Mg / 100 Ml I.v 1 Vial,"500 MG, 100 ML, 100 ML",,Parenteral formulation
Levoxin 500 Mg 5 Tab,500 MG,,Oral tablet formulation
Lezberg - Amlo 5 / 20 mg 30,20 MG,Fluoroquinolone Antibiotic,Levofloxacin + Amlodipine
Lezberg 20 mg 30,20 MG,Fluoroquinolone Antibiotic,Levofloxacin
Lezberg 40 mg 30,40 MG,Fluoroquinolone Antibiotic,Levofloxacin
Lezberg Amlo 5 / 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Lezberg Amlo 5 / 40 Mg 30 Tab,40 MG,,Oral tablet formulation
Lezberg Plus 20 / 12.5 Mg 30 Tab,12.5 MG,,Oral tablet formulation
Lezberg Plus 40 / 12.5 Mg 30 Tab,12.5 MG,,Oral tablet formulation
Lezberg Plus 40 / 25 Mg 30 Tab,25 MG,,Oral tablet formulation
Lezberg Plus 40 mg / 12.5 mg 30,"40 MG, 12.5 MG, 40 MG + 12.5 MG",Fluoroquinolone Antibiotic,Levofloxacin + Hydrochlorothiazide
Lezberg Trio 20 mg / 5 mg / 12.5 mg 30 Film Coated,"20 MG, 5 MG, 12.5 MG, 20 MG + 5 MG",Fluoroquinolone Antibiotic,Levofloxacin + Amlodipine + Hydrochlorothiazide
Lezberg Trio 40 mg / 10 mg / 25 mg 30 Film Coated,"40 MG, 10 MG, 25 MG, 40 MG + 10 MG",Fluoroquinolone Antibiotic,Levofloxacin + Amlodipine + Hydrochlorothiazide
Lezberg Trio 40 mg / 5 mg / 12.5 mg 30 Film Coated,"40 MG, 5 MG, 12.5 MG, 40 MG + 5 MG",Fluoroquinolone Antibiotic,Levofloxacin + Amlodipine + Hydrochlorothiazide
Lezberg-Amlo 5 mg/ 40 mg 30,"5 MG, 40 MG, 5 MG + 40 MG",Fluoroquinolone Antibiotic,Levofloxacin + Amlodipine
Lianeur 20 Hard Gelatin,,Nutritional supplement,Vitamin B complex
Libradiclan 140 mg 7 Medicated Plasters,140 MG,Pharmacological Agent,Capsaicin
Libradiclan 140 Mg Medicated Plaster 7Pcs,140 MG,,Pharmaceutical preparation
Librax 30,,Pharmacological Agent,Chlordiazepoxide + Clidinium
Lidemtzil 5 Mg Disp. 30 Tab (339710),5 MG,,Oral tablet formulation
Lidocaine 10% Spray 15 Ml,"15 ML, 15 ML, 10%",,Spray formulation
Lidocaine 2% (40 Mg / 2 Ml) 10 Amp,"40 MG, 2 ML, 2 ML, 2%",,Pharmaceutical preparation
Lidocaine 2% 1 Ampoule,2%,Pharmacological Agent,Lidocaine
Lidocaine 2% 1 Vial 50 Ml,"50 ML, 50 ML, 2%",,Parenteral formulation
Lidocaine 20 mg / ml Vial 50 ml,"20 MG, 50 ML",Pharmacological Agent,Lidocaine
Lidocaine 50 mg / 5 ml 50,"50 MG, 5 ML",Pharmacological Agent,Lidocaine
Lidocaine Hcl Pharco B 50 Mg / 5 Ml 1 Amp,"50 MG, 5 ML, 5 ML",,Pharmaceutical preparation
Lidocaine Hydrochloride,,Pharmacological Agent,Lidocaine
Lidocaine Hydrochloride Pharmacell 2% 1 Vial 50 ml,"50 ML, 2%",Pharmacological Agent,Lidocaine
Lidocaine Topical Aerosol 10 gm/100 gm 15 ml,"10 G, 100 G, 15 ML",Pharmacological Agent,Lidocaine
Lidoflak 8 Mg 30 Cap,8 MG,,Oral capsule formulation
Lidsoft (Mebo) 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Life D Oral,,"Bone health, Calcium absorption",Vitamin D
Life Extension Magnesium Citrate 100 mg 100 Veg,100 MG,Magnesium Supplement,Magnesium oxide
Life Extension Optimized Ashwagandha 60 Veg,,Pharmacological Agent,Ashwagandha extract
Life Extension Optimized Folate 100 Veg,,Pharmacological Agent,Folate
Life Extension Potassium with Extend Release Magnesium 60 Veg,,Magnesium Supplement,Magnesium oxide
Life Extension Vitamin C and Bio-Quercetin 60 Veg,,Vitamin C (Antioxidant),Ascorbic acid
Life Extension Zinc 50 mg 90 Veg,50 MG,"Immune support, Wound healing",Zinc sulfate
Life Thyme,,Pharmacological Agent,Thyme syrup
Lifeiroglob 30 Hard Gelatin,,Pharmacological Agent,Immunoglobulin
Lifotribox 10 Film Coated,,Nutritional supplement,Multivitamin
Light Walk 30,,Nutritional supplement,Nutritional supplement
Light Walk 30 Cap,,,Oral capsule formulation
Lignocaine 10% Spray 15 ml,"15 ML, 10%",Pharmacological Agent,Lidocaine
Lignocaine 10% Spray 15 Ml #,"15 ML, 15 ML, 10%",,Spray formulation
Lignocaine 5% 20 Gm Cream,"20 G, 20 G, 5%",,Topical cream formulation
Lignocaine 5% 20 Gm Gel #,"20 G, 20 G, 5%",,Topical gel formulation
Lignopanthen Gel 20 gm,20 G,Pharmacological Agent,Lidocaine + Panthenol
Ligofat 120 Mg 30 Cap,120 MG,,Oral capsule formulation
Liliox 10 Sachets,,Pharmacological Agent,Probiotic
Lilo Gummy 60 Pieces,,Nutritional supplement,Vitamin gummies
Lilo Multigummies 30 Pieces,,Nutritional supplement,Multivitamin gummies
Limitless Allzyme Max 20 Tab,,,Oral tablet formulation
Limitless B Complex Odf 30 Films,,,Pharmaceutical preparation
Limitless B Complex ODF 30 Oral Dispensable Films,,Nutritional supplement,Vitamin B complex
Limitless Baby D Drops Oral Drops 15 Ml,"15 ML, 15 ML",,Ophthalmic/otic drops
Limitless C - Zinc Original 30 Lozen. Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Limitless C - Zinc Plus 20 Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Limitless C-Zinc Original 30 Lozenges,,"Immune support, Wound healing",Zinc sulfate
Limitless Caffeine 80 mg 20 Oral Dispersible Films,80 MG,"Stimulant, Pain relief enhancement",Caffeine
Limitless Charcoal Plus 30 Cap,,,Oral capsule formulation
Limitless Charcoal Plus 30 Hard Gelatin,,Pharmacological Agent,Activated charcoal
Limitless Chromax Cut 30 Sachets,,,Pharmaceutical preparation
Limitless Co (Q10) 100 Mg 30 Cap,100 MG,,Oral capsule formulation
Limitless Co Q10 100 mg 30 Hard Gelatin,100 MG,Coenzyme Supplement,Coenzyme Q10
Limitless Conceive-Q Original 30 Chewable,,Coenzyme Supplement,Coenzyme Q10
Limitless Cranberry Max 20 Sachets,,Pharmacological Agent,Cranberry extract
Limitless Digest Now 30 Film Coated,,Pharmacological Agent,Digestive enzymes
Limitless Digest Now Original 30 Tab,,,Oral tablet formulation
Limitless Diosmin Complex 30 Film Coated,,Pharmacological Agent,Diosmin + Hesperidin
Limitless Fortalase Original,,Pharmacological Agent,Bromelain
Limitless Fortalase Original Syrup 80 Ml,"80 ML, 80 ML",,Oral liquid formulation
Limitless Freeze Original Gel 50 Gm,"50 G, 50 G",,Topical gel formulation
Limitless Hydrate Charge 6 Sticks,,Nutritional supplement,Hydration supplement
Limitless Hydrate Glow 6 Sticks,,Nutritional supplement,Hydration supplement
Limitless Hydrate Immunity 6 Sticks,,Nutritional supplement,Hydration supplement
Limitless Hydrate Keto 6 Sticks,,Nutritional supplement,Hydration supplement
Limitless Hydrate Original 6 Sticks,,Nutritional supplement,Hydration supplement
Limitless Hydrate Original 6 Sticks / Blue Raspberry,,,Pharmaceutical preparation
Limitless Joint Avoplus 30 Film Coated,,Nutritional supplement,Joint supplement
Limitless Kids,,Nutritional supplement,Children's supplement
Limitless Kids Calcium 30 Milk Choco. Balls,,Mineral Supplement,Calcium - Bone health mineral
Limitless Kids D3 + K2 30 Oral Dispersible Films,,"Bone health, Calcium absorption",Vitamin D3 + K2
Limitless Kids Multigummies 90 Gummies,90 G,,Pharmaceutical preparation
Limitless Kids Multivitamin,,Nutritional supplement,Multivitamins
Limitless Kids Multivitamin Syrup 140 Ml,"140 ML, 140 ML",Vitamin Supplement,Oral liquid formulation
Limitless Kids Multivitamin Syrup 250 Ml,"250 ML, 250 ML",Vitamin Supplement,Oral liquid formulation
Limitless Lactase 12000 - 30 Chew. Tab,,,Oral tablet formulation
Limitless Lactase 12000 30 Chewable,,Pharmacological Agent,Lactase
Limitless Lactoferrin 100 mg 14 Sachets,100 MG,Pharmacological Agent,Lactoferrin
Limitless Lactoferrin 100 mg 30 Sachets,100 MG,Pharmacological Agent,Lactoferrin
Limitless Lipoferrex 40 mg 30 Film Coated,40 MG,Iron Supplement,Iron
Limitless Magnesium 150 mg 30 Film Coated,150 MG,Magnesium Supplement,Magnesium oxide
Limitless Man Max 100 Tab,,,Oral tablet formulation
Limitless Man Max 30 Film Coated,,Nutritional supplement,Men's supplement
Limitless Man Multigummies 90 Gummies,90 G,Nutritional supplement,Men's multivitamin gummies
Limitless Milga Max 30,,Nutritional supplement,Multivitamin
Limitless MSM (UCT2) 30,,Pharmacological Agent,Methylsulfonylmethane
Limitless Msm Uct-2 30 Tab,,,Oral tablet formulation
Limitless Naturals Vegan Protein 1000 Gm (Banana) Powder,"1000 G, 1000 G",,Pharmaceutical preparation
Limitless Omega -3 Fish Oil 2000 mg 30,2000 MG,Pharmacological Agent,Omega-3 fatty acids
Limitless Omega -3 Fish Oil 2000 mg 60,2000 MG,Pharmacological Agent,Omega-3 fatty acids
Limitless Omega-3 Fish Oil 2000 Mg 30 Cap,2000 MG,,Oral capsule formulation
Limitless Ossofortin D3 2000 Iu 30 Tab,2000 IU,,Oral tablet formulation
Limitless Ossofortin D3 2000 Unit 30 Film Coated,,"Bone health, Calcium absorption",Vitamin D3
Limitless Ossofortin D3 5000 Iu 30 Tab,5000 IU,,Oral tablet formulation
Limitless Osteodense Original 30 Film Coated,,Nutritional supplement,Bone supplement
Limitless PEA Plus 20 Film Coated,,Pharmacological Agent,Palmitoylethanolamide
Limitless Power Max 30 Film Coated,,Nutritional supplement,Energy supplement
Limitless Prenatal Max 30,,Nutritional supplement,Prenatal vitamins
Limitless Prenatal Max 30 Cap,,,Oral capsule formulation
Limitless Prostanorm Max 30,,Nutritional supplement,Prostate supplement
Limitless Sleep Aid Dual 30 Bi-Layer,,First-generation Antihistamine,Diphenhydramine
Limitless Sleep Aid Dual 30 Tab,,,Oral tablet formulation
Limitless Turmeric 500 mg 60,500 MG,Pharmacological Agent,Turmeric extract
Limitless Turmeric 500 Mg 60 Cap,500 MG,,Oral capsule formulation
Limitless Vitamin B12 Odf 30 Films,,Vitamin Supplement,Pharmaceutical preparation
Limitless Vitamin C 500 Mg 20 Tab,500 MG,"Vitamin Supplement, Antioxidant","Vitamin C - Ascorbic acid, antioxidant"
Limitless Woman Max 100,,Nutritional supplement,Women's supplement
Limitless Woman Max 30,,Nutritional supplement,Women's supplement
Limitless Woman Multigummies 90 Gummies,90 G,Nutritional supplement,Women's multivitamin gummies
Limitless Zinc 25 mg 30,25 MG,"Immune support, Wound healing",Zinc sulfate
Linadiabet 30 Film Coated,,"Diabetes, Blood sugar control",Metformin
Linagliflozin 10 / 5 mg 30 Film Coated,5 MG,Pharmacological Agent,Empagliflozin + Metformin
Linagliflozin 25 / 5 mg 30 Film Coated,5 MG,Pharmacological Agent,Empagliflozin + Metformin
Linajenta Plus 25 mg / 5 mg 30 Film Coated,"25 MG, 5 MG, 25 MG + 5 MG",Pharmacological Agent,Empagliflozin + Metformin
Linatraje 5 mg 28,5 MG,Pharmacological Agent,Levonorgestrel
Linca 30 Pieces,,Pharmacological Agent,Probiotic
Lindo Hair Oil Spray 120 Ml,"120 ML, 120 ML",,Spray formulation
Linex 10 Sachets 1.5 gm,1.5 G,Pharmacological Agent,Probiotic
Linex 10 Sachets X 1.5 Gm,"1.5 G, 1.5 G",,Pharmaceutical preparation
Linex 50 Gm Massage Cream,"50 G, 50 G",,Topical cream formulation
Linex Adult 14 Cap,,,Oral capsule formulation
Linex Adult Probiotic 14,,Pharmacological Agent,Probiotic
Linex Baby Oral Drops 8 Ml,"8 ML, 8 ML",,Ophthalmic/otic drops
Linex Complex 14,,Pharmacological Agent,Probiotic
Linex Complex 14 Cap,,,Oral capsule formulation
Linex Cream 50 gm,50 G,Pharmacological Agent,Probiotic cream
Linezolid 600 mg 14,600 MG,Pharmacological Agent,Linezolid
Linezomentin 600 mg 1 Vial 300 ml IV,"600 MG, 300 ML",Pharmacological Agent,Linezolid
Linezox 600 Mg 14 Tab,600 MG,,Oral tablet formulation
Lingalabs Plus 10 / 5 / 1000 mg 30 Extended Release Film Coated,1000 MG,"Diabetes, Blood sugar control",Metformin + Sitagliptin + Pioglitazone
